X;ano;cbo_2002;grau_instrucao_apos_2005;id_municipio;sigla_uf;mulher;raca_cor;tempo_emprego;valor_remuneracao_dezembro;idade;idade2;graduacao;mestrado;doutorado;sp;log_Sal;SEXO_UF;homem_branco_sp;homem_preto_sp;mulher_branca_sp;mulher_preta_sp;homem_branco_mg;homem_preto_mg;mulher_branca_mg;mulher_preta_mg;Tempo_emprego2;Grau_instrucao;mestrado completo;mestrado_completo;graduacao_completa;grau_instrucao;capital
2030;2019;251205;9;3550308;SP;1;0;96,3;5239,49;43;1849;1;0;0;1;8,56;1 0 1;0;0;1;0;0;0;0;0;9273,69;1 0 0;0;0;1;0;1
2031;2019;251205;9;3550308;SP;1;0;10,1;4824,6;38;1444;1;0;0;1;8,48;1 0 1;0;0;1;0;0;0;0;0;102,01;1 0 0;0;0;1;0;1
2033;2019;251205;9;3550308;SP;1;0;168,5;10258,03;42;1764;1;0;0;1;9,24;1 0 1;0;0;1;0;0;0;0;0;28392,25;1 0 0;0;0;1;0;1
2034;2019;251205;9;3550308;SP;1;1;2,9;1384,44;22;484;1;0;0;1;7,23;1 1 1;0;0;0;1;0;0;0;0;8,41;1 0 0;0;0;1;0;1
2035;2019;251205;9;3550308;SP;0;0;251,8;23079,61;45;2025;1;0;0;1;10,05;0 0 1;1;0;0;0;0;0;0;0;63403,24;1 0 0;0;0;1;0;1
2037;2019;251205;9;3550308;SP;1;0;255,7;3419,8;47;2209;1;0;0;1;8,14;1 0 1;0;0;1;0;0;0;0;0;65382,49;1 0 0;0;0;1;0;1
2038;2019;251205;9;3550308;SP;1;0;23,7;9012,74;31;961;1;0;0;1;9,11;1 0 1;0;0;1;0;0;0;0;0;561,69;1 0 0;0;0;1;0;1
2039;2019;251205;9;3550308;SP;0;0;59,8;5486,38;27;729;1;0;0;1;8,61;0 0 1;1;0;0;0;0;0;0;0;3576,04;1 0 0;0;0;1;0;1
2040;2019;251205;9;3550308;SP;0;0;11,9;15587,04;24;576;1;0;0;1;9,65;0 0 1;1;0;0;0;0;0;0;0;141,61;1 0 0;0;0;1;0;1
2041;2019;251205;9;3550308;SP;0;0;170,4;8552,42;38;1444;1;0;0;1;9,05;0 0 1;1;0;0;0;0;0;0;0;29036,16;1 0 0;0;0;1;0;1
2043;2019;251205;9;3550308;SP;1;1;1,7;1401;33;1089;1;0;0;1;7,24;1 1 1;0;0;0;1;0;0;0;0;2,89;1 0 0;0;0;1;0;1
2044;2019;251205;9;3550308;SP;1;0;10,1;5622,87;48;2304;1;0;0;1;8,63;1 0 1;0;0;1;0;0;0;0;0;102,01;1 0 0;0;0;1;0;1
